,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse
39,p,15,second,3,1,0.012590672567207771,70,1.1028892993927002,6.1515027748418e-05,0.9997479131226853,0.9933838740580299,0.0012507331067027278
40,p,15,second,3,2,5.193297912823966,70,0.9181497097015381,0.01765161581162525,0.9805176125804076,0.49675068379964854,0.1929384741682211
41,p,15,second,3,3,0.000303748670540904,70,1.1814420223236084,8.971862279689885e-06,0.9999741875856786,0.9894824328282471,0.0014074296376997812
42,p,15,second,3,1,0.0765424840676463,78,1.216477870941162,0.00018227339812840708,0.9981439182166205,0.9766601490033867,0.005311605063185416
43,p,15,second,3,2,329.6564419131687,78,1.2688281536102295,0.09212752084253154,0.9641983397295454,0.3207279423329231,0.19553591080008692
44,p,15,second,3,3,0.005811949329909737,78,1.4740610122680664,7.731956314072764e-05,0.9997466492798556,0.9966658881606663,0.000649487433143175
45,p,15,second,3,1,0.0493038097475042,127,1.4027509689331055,0.0021035329180863803,0.9982971213537642,0.9612100638509882,0.0027472392700160168
46,p,15,second,3,2,0.004092429195305986,127,1.390286922454834,0.0003515360471891532,0.9997664805034241,0.9844044718811633,0.0014099509149328331
47,p,15,second,3,3,0.02127758315552534,127,1.4470887184143066,0.002204711074973789,0.9987942884248632,0.9871145933046704,0.002164183362351428
48,p,15,second,3,1,0.0010235153300725893,145,1.1796042919158936,5.5142275441101515e-05,0.9999641323843422,0.9638748177490023,0.004893041836607064
49,p,15,second,3,2,0.00021794364789355173,145,1.196000099182129,8.897402929452523e-05,0.9999441651681651,0.9735849842739482,0.004108077981548863
50,p,15,second,3,3,2.7670091014597236e-06,145,1.4674460887908936,2.2612601407641643e-05,0.9999820109724518,0.9692050357289451,0.003953484638133617
51,p,15,second,3,1,0.16575738378869828,133,1.851022720336914,0.02678871392052209,0.9955168987156214,0.40049024246278503,0.17187601939608915
52,p,15,second,3,2,4.5982875629894664e-05,133,1.6634948253631592,0.0002653013158542232,0.9998309917206667,0.9843208182178229,0.0018723762945624123
53,p,15,second,3,3,106.70479023905227,133,1.8284509181976318,0.020041887410825045,0.9850490261867074,0.4205534466664817,0.17458481075485152
54,p,15,second,3,1,0.4864827320328261,161,1.894731044769287,0.021923803713396053,0.9853543323699789,0.6270337101614701,0.11747513707724959
55,p,15,second,3,2,1.3243867455014748,161,1.5903480052947998,0.3038995408301268,0.9356563821273234,0.27045209122233016,0.15369297168590623
56,p,15,second,3,3,0.004030659437240746,161,1.7796471118927002,0.0006646490543584664,0.9998237922155274,0.9976102298187257,0.0003997771791755242
57,p,15,second,3,1,0.37872160212660677,291,2.2382657527923584,0.3435683721979563,0.7833100763161003,0.3784937393365072,0.12264900525461266
58,p,15,second,3,2,0.16364067284552364,291,4.72023606300354,0.4914992186904858,0.8399417714802053,0.2767321011711882,0.2217715100910164
59,p,15,second,3,3,0.091316743181629,291,4.490629196166992,0.4890881280576839,0.7723733540705618,0.003254469578463601,0.252902131522609
60,p,15,second,8,1,10.502253900788455,564,1.9917051792144775,1.6824921034675586,0.04058747945841333,-0.5273516487847396,0.531183545354475
61,p,15,second,8,2,0.4574247738496873,564,2.2653191089630127,0.5449931309229703,0.7178088181600305,0.3313174542454095,0.24201982718210865
62,p,15,second,8,3,6.601951813159697,564,5.000349044799805,0.8930554356852792,0.28959667910722103,-0.7579385610282526,0.2952386582065465
63,p,15,second,8,1,0.5617553160563656,617,4.690539121627808,0.06609501648428465,0.987857789172264,0.9716049561912673,0.007991576422405566
64,p,15,second,8,2,16.085497722253265,617,2.5333549976348877,0.6604385561835394,0.7717333848226242,0.7776609034320483,0.09944373960363925
65,p,15,second,8,3,1.1574364805009965,617,5.158048868179321,2.31762461626291,0.17726623158570212,0.6536762111925128,0.129365605608874
66,p,15,second,8,1,0.5084170235549393,236,2.0606188774108887,0.10054707410180332,0.9549352817518315,-0.5369716126880444,0.1932717198586897
67,p,15,second,8,2,0.06138275365437066,236,3.0526719093322754,0.008127871148775506,0.9921372340594955,0.8979959987465278,0.02292333858437289
68,p,15,second,8,3,0.004232452089136853,236,2.6655149459838867,0.009387311243078175,0.9964601103456197,0.9187017031463645,0.019909821124138125
69,p,15,second,8,1,0.0006153150146447487,70,1.3696939945220947,2.3690481665408613e-05,0.9999713068358914,0.970593127197117,0.009293424162948935
70,p,15,second,8,2,15.02526025828814,70,1.5024173259735107,0.005156626402808168,0.9832080537952471,0.6334585481267638,0.08681771553865177
71,p,15,second,8,3,2.438727268982477,70,1.4250681400299072,0.004709516494325546,0.9939555456936554,0.5981384410798118,0.1094545996422778
72,p,15,second,8,1,0.016994726584685853,78,1.1292049884796143,0.0005126960427386601,0.9969355161338709,0.9140377471479071,0.02227236897749809
73,p,15,second,8,2,211.58068965449667,78,1.242130994796753,0.18717117150642545,0.9415624385720655,-0.6422353613973244,0.4901994247435302
74,p,15,second,8,3,0.1400574315707687,78,1.4736042022705078,0.0010258547386161442,0.9972021576694002,0.9320203521782304,0.009742077246786567
75,p,15,second,8,1,0.17286001756493108,127,1.7429850101470947,0.008169373836213654,0.9974110717752332,0.916466377755053,0.025217007839709045
76,p,15,second,8,2,0.006958740484036486,127,1.539351224899292,0.0010241039758807434,0.9980352771483498,0.6760633492546894,0.05513820362921817
77,p,15,second,8,3,0.00046540360749834306,127,2.036184787750244,0.0009813560089277874,0.9992639279671036,0.8544562791091502,0.02601396187005703
78,p,15,second,8,1,28.27933006879217,145,2.451521158218384,0.04296302336379691,0.9816582201426404,-0.7019732369001387,0.4058880307599747
79,p,15,second,8,2,0.011404671661908594,145,2.9099888801574707,0.0031797330797949824,0.9985482813197701,0.8487266337357772,0.0745957394432196
80,p,15,second,8,3,107.57533670391499,145,1.9057209491729736,0.005703585774238942,0.9975758221290701,0.8360037757223344,0.06145201024007154
