,trial,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse
61,31,p,30,second,3,2,0.34368866464565045,95,2.7793359756469727,4.316859581808911e-08,0.9999982255563373,0.8792753291493766,0.008438238580212936
62,31,p,30,second,3,3,2.6551748968278637,95,3.5546929836273193,0.06375328658787231,0.9949401763981318,0.5026027347776657,0.16639791165914475
63,46,p,30,second,3,1,0.005076947172165564,153,10.900976181030273,4.0288168652391306e-07,0.9999997594375265,0.9991657776966277,7.249070899708797e-05
64,46,p,30,second,3,2,0.45190942116428384,153,1.772432804107666,0.0641421041863302,0.6912813003001829,-0.017537349122627863,0.15397765345396655
65,46,p,30,second,3,3,4.702514128139629,153,4.582199811935425,0.060201929040677817,0.9078493113918495,-0.09330625210677078,0.2649366209325674
66,189,p,30,second,3,1,0.4787571995507446,88,5.221111059188843,1.155723124160394e-08,0.9999998363684093,0.1543055509409992,0.024528344453105214
67,189,p,30,second,3,2,5.100336173656457,88,1.5750651359558105,0.003744249415003177,0.980910494910783,0.5349960921595371,0.1588551142568015
68,189,p,30,second,3,3,1.582809840582818,88,3.7368898391723633,1.9935827685429237e-08,0.9999999641942047,0.8834614199324916,0.004818551130363656
69,228,p,30,second,3,1,0.12535033190888623,83,2.7692179679870605,4.359165549162721e-08,0.9999999652345426,0.9891760959745967,0.0008092190461427525
70,228,p,30,second,3,2,0.13063816016807886,83,2.8579261302948,1.4444361743745548e-10,0.9999999998350191,0.9467971595276582,0.002475011355061082
71,228,p,30,second,3,3,3.7146923284834195,83,6.337570905685425,1.6707136994701487e-08,0.9999999708220192,0.9226915791637731,0.004937879606966776
72,265,p,30,second,3,1,0.045814986744825446,344,26.846771001815796,1.173576987742366e-05,0.9999666191604024,0.9619350785614007,0.0025762921487993006
73,265,p,30,second,3,2,0.8861911620463532,344,9.537065267562866,9.130315785985334e-05,0.9999027911632349,0.818901565178344,0.013881188213933063
74,265,p,30,second,3,3,1.4319319554826848,344,2.655574083328247,0.38126905043942233,0.4731840915413467,-0.46062392587695056,0.1386732553445807
75,4,p,30,second,8,1,0.09626480738246918,430,12.929480075836182,0.0019408879921488412,0.996987336072433,0.8612090696204222,0.00962868222120783
76,4,p,30,second,8,2,4.569818707686503,430,2.1438050270080566,0.28865114550795623,-0.7402715875079233,0.014908392267215983,0.24459392721156073
77,4,p,30,second,8,3,148.54641503087845,430,9.688814878463745,0.018780044984811846,0.9823183322487878,0.38182875234667785,0.05381074710244393
78,217,p,30,second,8,1,4.97585032828645,108,3.247202157974243,0.04174457533053134,0.921170264270682,0.1421685630917474,0.08387043013039727
79,217,p,30,second,8,2,2.374960116226212,108,3.4956722259521484,8.996315537628464e-06,0.9999615450582583,0.6506278179245415,0.026696452264504796
80,217,p,30,second,8,3,1.5154126119359932,108,4.042253732681274,0.0002725460562149981,0.9995294981747744,0.10077113734671812,0.12418339687162636
81,244,p,30,second,8,1,104.09156198603264,262,6.7605462074279785,0.0010706875806520712,0.9987274654230838,0.7220728929344733,0.03174354330825099
82,244,p,30,second,8,2,0.40225107826900125,262,3.84639310836792,7.209850704882632e-05,0.9999557151142214,0.914288686887485,0.0042972480978502375
83,244,p,30,second,8,3,0.5707382246977415,262,18.780743837356567,0.00064461178491427,0.9993745406582225,0.30336373414496043,0.054880208796311454
