,trial,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse,posmse_p,poscorr_p,wtcorr_p,wtmse_p,wtcorr_pv,poscorr_pv,wtcorr_pf,poscorr_pf,wtcorr_pvi,poscorr_pvi,wtcorr_pif,poscorr_pif,wtcorr_pvf,poscorr_pvf,wtcorr_pvif,poscorr_pvif,posmse_pv,wtmse_pv,posmse_pf,wtmse_pf,posmse_pvi,wtmse_pvi,posmse_pif,wtmse_pif,posmse_pvf,wtmse_pvf,posmse_pvif,wtmse_pvif
173,116,pf,30,second,8,2,3.1682014392268476,297,7.178849220275879,,,,,,0.999994314885395,0.9987613482222732,,-0.2707623435573846,0.8829247096941526,0.9985176615529856,0.999997579836476,0.22896549886221237,0.9734438344351873,0.9985969131961548,0.9999980727639457,0.22478521938177595,0.9899852733117296,0.2807039056493991,0.9939085708530716,,,7.090821405284841e-06,0.00019074114537667315,,,,,,,,
174,171,pf,30,second,8,1,1.6232985216829658,44,1.5985229015350342,,,,,,0.999951186474212,0.8751064055543823,,0.8735042639782595,0.9976001564446372,0.8752465331055168,0.9999530348330662,0.8683466517617583,0.9999057606370821,0.8695338152241291,0.9999549421972441,0.9163069494849285,0.9999828942914099,0.868611073388667,0.9999054087125563,,,7.950299259464057e-05,0.04541616095884869,,,,,,,,
175,171,pf,30,second,8,2,3.886168661757694,44,1.755500078201294,,,,,,0.9998720160765212,0.9451267619695014,,0.9460615712309519,0.9998850116024331,0.9451275512455094,0.9998720815106771,0.6786057731899946,0.9999832797122895,0.9263455519429287,0.9998984933027079,-0.2808684124087378,0.9935557945661458,0.6784302423358533,0.9999832171126188,,,7.637599797347057e-05,0.011586095461879553,,,,,,,,
176,195,pf,30,second,8,1,4.316806529751095,245,4.429472923278809,,,,,,0.9921576864661101,0.8488167690088474,,0.7334127525358044,0.9158808452035623,0.8518181688136219,0.9919883944567779,0.9787697181648032,0.9996508370317243,0.7334127525359686,0.9308373954495808,0.8507023383299126,0.9920581047635828,0.9780978568008133,0.9996578347110845,,,0.01782674656045861,0.04453800787992751,,,,,,,,
177,195,pf,30,second,8,2,9.601395473833707,245,3.5689969062805176,,,,,,-0.2147138250296249,0.46398034744466504,,0.3881431818904456,0.9557902772830602,0.3951052392937883,0.9560602359205322,0.9849290148496754,0.9990413904660521,0.9793335618775028,0.998871487810105,0.46398034639249464,0.944460762977924,0.9818580512140284,0.9989649511448737,,,0.08068171742160658,0.10068478135955042,,,,,,,,
178,214,pf,30,second,8,1,5.564367986977887,296,4.343713760375977,,,,,,0.3909354733034429,-0.7837595839666383,,-0.7341413357027473,0.12960319161905548,-0.7844860978578075,0.37254645591271895,0.9824491594021345,0.9923569448204411,0.9869861508781206,0.9978964685518947,-0.76652138209344,0.1855691267092975,0.9824364632087362,0.9923373478950669,,,0.528701683817528,0.42271944851226434,,,,,,,,
179,214,pf,30,second,8,2,68.23565036158523,296,8.925585985183716,,,,,,0.7228351422185224,-0.803779759851503,,0.8381749061410076,0.9535403319866529,0.5990744750884065,0.2886170817776471,-0.8381749061410076,-0.0005779765126408583,-0.09876469404364174,0.7358266517854843,0.8381749061385564,0.9535403381467109,-0.600234720140329,0.9897224776386705,,,1.3527478455860567,0.10275704242417578,,,,,,,,
180,33,pvi,20,second,1,1,0.6420975693232357,66,1.9770078659057617,,,,,,0.9995144977263658,0.11167083978230159,,-0.9112840441826676,0.9922043756111298,0.06288916845921837,0.9995689708119246,0.9846056266337878,0.9999348266998499,0.9455838511234833,0.9821087289766361,-0.9231593660303967,0.9927095779623056,0.9845681356161539,0.999934698624714,,,,,2.0838351837846095e-05,0.007177242379251831,,,,,,
181,33,pvi,20,second,1,2,0.11106483114502996,66,1.8494348526000977,,,,,,0.9877395963415783,0.6376685360799659,,0.9890873325141664,0.9999017514796087,0.636223774931527,0.9880172196314353,0.98935219769726,0.9999486759811889,0.7218266647091012,0.9367981030868513,0.9903013786047026,0.9999230039763057,0.9891939464418362,0.9999489772546127,,,,,8.736657399863215e-06,0.002420016793885355,,,,,,
182,56,pvi,20,second,1,1,0.45596910058461587,236,3.711874008178711,,,,,,-0.6573896673886714,0.7500309009687712,,0.7551223822155169,0.938169766727323,0.714554696153498,-0.03580837328772708,0.827081127506158,0.9962701895124166,0.7500309009687712,-0.617868941319941,0.7439038283823519,0.9377779748137005,-0.7500309009687693,0.5757702654102321,,,,,0.0032665548581540345,0.013309754680798393,,,,,,
